"Profile","Region","EC2_Count","EBS_count","S3_Count","Lambda_Count","RDS_Count","DynamoDB_count","Redis_count","ECS_Count","CloudFormation_Count","EKS_Clusters_Count","VPC_Count","IGW_count","NAT_count","CloudWatch_Alarms_Count","Activity_Detected"
"fennia-laske-osta-te-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-te-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-te-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-dv-euwest1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-dv-euwest1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-dv-euwest1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-dv-euwest1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-dv-euwest1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-pd-euwest1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-pd-euwest1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-pd-euwest1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-pd-euwest1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liideri-pd-euwest1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liit-te-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liit-te-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liit-te-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liit-te-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-liit-te-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-logarchive-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-logarchive-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-logarchive-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-logarchive-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
